SL NO.,Title,Authors,Published Year,Abstract,Paper Link
1,Ensemble learning based on efficient features combination can predict the outcome of recurrence-free survival in patients with hepatocellular carcinoma within three years after surgery,"Liyang Wang, Meilong Wu, Chengzhan Zhu, Rui Li, Shiyun Bao, Shizhong Yang, Jiahong Dong",11/10/2022,"Abstract Preoperative prediction of recurrence outcome in hepatocellular carcinoma (HCC) facilitates physicians’ clinical decision-making. Preoperative imaging and related clinical baseline data of patients are valuable for evaluating prognosis. With the widespread application of machine learning techniques, the present study proposed the ensemble learning method based on efficient feature representations to predict recurrence outcomes within three years after surgery. Radiomics features during arterial phase (AP) and clinical data were selected for training the ensemble models. In order to improve the efficiency of the process, the lesion area was automatically segmented by 3D U-Net. It was found that the mIoU of the segmentation model was 0.8874, and the Light Gradient Boosting Machine (LightGBM) was the most superior, with an average accuracy of 0.7600, a recall of 0.7673, a F1 score of 0.7553, and an AUC of 0.8338 when inputting radiomics features during AP and clinical baseline indicators. Studies have shown that the proposed strategy can relatively accurately predict the recurrence outcome within three years, which is helpful for physicians to evaluate individual patients before surgery.",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.1019009/full
2,The transformative potential of artificial intelligence in solid organ transplantation,"Mouhamad Al Moussawy, Zoe S. Lakkis, Zuhayr A. Ansari, Aravind R. Cherukuri, Khodor I. Abou-Daya",3/15/2024,"Abstract Solid organ transplantation confronts numerous challenges ranging from donor organ shortage to post-transplant complications. Here, we provide an overview of the latest attempts to address some of these challenges using artificial intelligence (AI). We delve into the application of machine learning in pretransplant evaluation, predicting transplant rejection, and post-operative patient outcomes. By providing a comprehensive overview of AI's current impact, this review aims to inform clinicians, researchers, and policy-makers about the transformative power of AI in enhancing solid organ transplantation and facilitating personalized medicine in transplant care.",https://www.frontiersin.org/journals/transplantation/articles/10.3389/frtra.2024.1361491/full
3,Research on the development of an intelligent prediction model for blood pressure variability during hemodialysis,"Zhijian Ren, Minqiao Zhang, Pingping Wang, Kanan Chen, Jing Wang, Lingping Wu, Yue Hong, Yihui Qu, Qun Luo, Kedan Cai",17-Feb-25,"Abstract

Objective
Blood pressure fluctuations during dialysis, including intradialytic hypotension (IDH) and intradialytic hypertension (IDHTN), are common complications among patients undergoing maintenance hemodialysis. Early prediction of IDH and IDHTN can help reduce the occurrence of these fluctuations. With the development of artificial intelligence, machine learning and deep learning models have become increasingly sophisticated in the field of hemodialysis. Utilizing machine learning to predict blood pressure fluctuations during dialysis has become a viable predictive method.

Methods
Our study included data from 67,524 hemodialysis sessions conducted at Ningbo No.2 Hospital and Xiangshan First People’s Hospital from August 1, 2019, to September 30, 2023. 47,053 sessions were used for model training and testing, while 20,471 sessions were used for external validation. We collected 45 features, including general information, vital signs, blood routine, blood biochemistry, and other relevant data. Data not meeting the inclusion criteria were excluded, and feature engineering was performed. The definitions of IDH and IDHTN were clarified, and 10 machine learning algorithms were used to build the models. For model development, the dialysis data were randomly split into a training set (80%) and a testing set (20%). To evaluate model performance, six metrics were used: accuracy, precision, recall, F1 score, ROC-AUC, and PR-AUC. Shapley Additive Explanation (SHAP) method was employed to identify eight key features, which were used to develop a clinical application utilizing the Streamlit framework.

Results
Statistical analysis showed that IDH occurred in 56.63% of hemodialysis sessions, while the incidence of IDHTN was 23.53%. Multiple machine learning models (e.g., CatBoost, RF) were developed to predict IDH and IDHTN events. XGBoost performed the best, achieving ROC-AUC scores of 0.89 for both IDH and IDHTN in internal validation, with PR-AUC scores of 0.95 and 0.78, and high accuracy, precision, recall, and F1 scores. The SHAP method identified pre-dialysis systolic blood pressure, BMI, and pre-dialysis mean arterial pressure as the top three important features. It has been translated into a convenient application for use in clinical .

Conclusion
Using machine learning models to predict IDH and IDHTN during hemodialysis is feasible and provides clinically reliable predictive performance. This can help timely implement interventions during hemodialysis to prevent problems, reduce blood pressure fluctuations during dialysis, and improve patient outcomes.",https://link.springer.com/article/10.1186/s12882-025-03959-x
4,"Research on the Nonlinear Relationship Between Carbon Emissions from Residential Land and the Built Environment: A Case Study of Susong County, Anhui Province Using the XGBoost-SHAP Model","Congguang Xu, Wei Xiong, Simin Zhang, Hailiang Shi, Shichao Wu, Shanju Bao, Tieqiao Xiao",20-Feb-25,"Abstract

Residential land is the basic unit of urban-scale carbon emissions (CEs). Quantifying and predicting CEs from residential land are conducive to achieving urban carbon neutrality. This study took 84 residential communities in Susong County, Anhui Province as its research object, exploring the nonlinear relationship between the urban built environment and CEs from residential land. By identifying CEs from residential land through building electricity consumption, 14 built environment indicators, including land area (LA), floor area ratio (FAR), greening ratio (GA), building density (BD), gross floor area (GFA), land use mix rate (Phh), and permanent population density (PPD), were selected to establish an interpretable machine learning (ML) model based on the XGBoost-SHAP attribution analysis framework. The research results show that, first, the goodness of fit of the XGBoost model reached 91.9%, and its prediction accuracy was better than that of gradient boosting decision tree (GBDT), random forest (RF), the Adaboost model, and the traditional logistic model. Second, compared with other ML models, the XGBoost-SHAP model explained the influencing factors of CEs from residential land more clearly. The SHAP attribution analysis results indicate that BD, FAR, and Phh were the most important factors affecting CEs. Third, there was a significant nonlinear relationship and threshold effect between built environment characteristic variables and CEs from residential land. Fourth, there was an interaction between different dimensions of environmental factors, and BD, FAR, and Phh played a dominant role in the interaction. Reducing FAR is considered to be an effective CE reduction strategy. This research provides practical suggestions for urban planners on reducing CEs from residential land, which has important policy implications and practical significance.",https://www.mdpi.com/2073-445X/14/3/440
5,Comparison of Different Machine Learning Models with Data Balancing for Prediction of Cardiovascular Disease Risks Based on Big Data,Gözde Özsezer,2026,"Abstract

Cardiovascular diseases (CVD) are a leading global cause of death and morbidity. This study evaluates data balancing techniques (SMOTE, ENN, SMOTE-ENN, SMOTE-Tomek) and machine learning (ML) algorithms for predicting CVD risk using big data. The 2021 CDC BRFSS dataset, with 308,854 records, was preprocessed by removing missing and irrelevant data. The dataset was split into 80% training and 20% testing subsets. ML models, including logistic regression, random forest, LightGBM, XGBoost, and CatBoost, were trained on balanced data. Performance metrics such as accuracy, precision, recall, F1 score, ROC curve, and AUC were used for evaluation. SMOTE-ENN and SMOTE-Tomek improved model performance, with LightGBM and CatBoost achieving the highest AUC and F1 scores. 

Results demonstrate that data balancing, especially SMOTE-ENN, enhances model sensitivity, aiding CVD risk identification. These findings underscore the potential for ML in nursing to develop targeted interventions and improve outcomes.",https://dergipark.org.tr/en/pub/jist/article/1800624
6,Modeling of New Agents with Potential Antidiabetic Activity Based on Machine Learning Algorithms,"Yevhen Pruhlo, Ivan Iurchenko, Alina Tomenko",27-Oct-25,"Abstract

Type 2 diabetes mellitus (T2DM) is a growing global health challenge, expected to affect over 600 million people by 2045. The discovery of new antidiabetic agents remains resource-intensive, motivating the use of machine learning (ML) for virtual screening based on molecular structure. In this study, we developed a predictive pipeline integrating two distinct descriptor types: high-dimensional numerical features from the Mordred library (>1800 2D/3D descriptors) and categorical ontological annotations from the ClassyFire and ChEBI systems. These encode hierarchical chemical classifications and functional group labels. The dataset included 45 active compounds and thousands of inactive molecules, depending on the descriptor system. To address class imbalance, we applied SMOTE and created balanced training and test sets while preserving independent validation sets. Thirteen ML models—including regression, SVM, naive Bayes, decision trees, ensemble methods, and others—were trained using stratified 12-fold cross-validation and evaluated across training, test, and validation. Ridge Regression showed the best generalization (MCC = 0.814), with Gradient Boosting following (MCC = 0.570). Feature importance analysis highlighted the complementary nature of the descriptors: Ridge Regression emphasized ClassyFire taxonomies such as CHEMONTID:0000229 and CHEBI:35622, while Mordred-based models (e.g., Random Forest) prioritized structural and electronic features like MAXsssCH and ETA_dEpsilon_D. This study is the first to systematically integrate and compare structural and ontological descriptors for antidiabetic compound prediction. The framework offers a scalable and interpretable approach to virtual screening and can be extended to other therapeutic domains to accelerate early-stage drug discovery.",https://www.mdpi.com/2673-9623/5/4/30
7,"Chongqing Mental Health Center, Chongqing, 401147, China 2 The First Clinical College, Chongqing Medical University, Chongqing, 400016, China 3 College of …","M Yuan, S Bi, Z Chen, X Fan, X Chen, K Shen",2026,"Abstract Qianyu Yin,1,2,* Zhaowu Chai,3,* Binbin Tao,1,2 Ping Liu,1,2 Yu Luo,1,2 Qinghua Zhao,4 Bing Yang1 1Department of Nursing, The Affiliated Stomatological Hospital of Chongqing Medical University, Chongqing, People’s Republic of China; 2College of Nursing, Chongqing Medical University, Chongqing, People’s Republic of China; 3Outpatient Department at Longfor Guangnian, The Affiliated Stomatological Hospital of Chongqing Medical University, Chongqing, People’s Republic of China; 4Center of Nursing Research, The First Affiliated Hospital of Chongqing Medical University, Chongqing, People’s Republic of China*These authors contributed equally to this workCorrespondence: Qinghua Zhao, Center of Nursing Research, The First Affiliated Hospital of Chongqing Medical University, Yuzhong District, Chongqing, 400016, People’s Republic of China, Tel +86 18602308866, Email 201307@hospital.cqmu.edu.cn Bing Yang, Department of Nursing, The Affiliated Stomatological Hospital of Chongqing Medical University, Yubei District, Chongqing, 401147, People’s Republic of China, Tel +86 13228649430, Email yangb@hospital.cqmu.edu.cn",https://link.springer.com/content/pdf/10.1186/s12889-026-27754-x_reference.pdf
8,Informatics and Health,TA Shuvo,2022,"Abstract With a massive influx of multimodality data, the role of data analytics in health informatics has grown rapidly in the last decade. This has also prompted increasing interests in the generation of analytical, data driven models based on machine learning in health informatics. Deep learning, a technique with its foundation in artificial neural networks, is emerging in recent years as a powerful tool for machine learning, promising to reshape the future of artificial intelligence. Rapid improvements in computational power, fast data storage, and parallelization have also contributed to the rapid uptake of the technology in addition to its predictive power and ability to generate automatically optimized high-level features and semantic interpretation from the input data. This article presents a comprehensive up-to-date review of research employing deep learning in health informatics, providing a critical analysis of the relative merit, and potential pitfalls of the technique as well as its future outlook. The paper mainly focuses on key applications of deep learning in the fields of translational bioinformatics, medical imaging, pervasive sensing, medical informatics, and public health.",https://www.researchgate.net/profile/Tonmoy-Alam-Shuvo/publication/393888861_Machine_learning-based_prediction_of_suicidal_ideation_plans_and_attempts_among_school-going_adolescents/links/687ef9f1f312d71d78c8bbaf/Machine-learning-based-prediction-of-suicidal-ideation-plans-and-attempts-among-school-going-adolescents.pdf
9,Are you a robot?,"J Liu, C Li, P Ouyang, J Liu, C Wu",2023,https://www.sciencedirect.com/science/article/pii/S1877050925014814,https://www.sciencedirect.com/science/article/pii/S1877050925014814
10,Are you a robot?,"FM Delpino, LP Pimenta, DF Gonzalez, A Victor…",2025,https://www.sciencedirect.com/org/science/article/pii/S1546221822002314,https://www.sciencedirect.com/org/science/article/pii/S1546221822002314
11,www.tandfonline.com,"I Malashin, V Tynchenko, A Gantimurov, V Nelyub…",2025,"Abstract This study evaluates the performance of various methodologies used in the literature to predict failures in small- and medium-sized enterprises (SMEs) using a data set of U.S. SMEs. By evaluating over 6,100 models and data subsample combinations, we find that the light gradient boosting machine (LightGBM) exhibits the best out-of-sample predictive performance, closely followed by extreme gradient boosting (XGBoost). These two estimation methods perform best using their built-in feature-selection mechanisms and do not require sample rebalancing. However, for most other estimation methods, feature selection and sample rebalancing are critical. For example, logistic regression (Logit) performs significantly better with appropriate feature selection and sample rebalancing. We also provide an overview of the importance of various features in predicting failures.",https://www.tandfonline.com/doi/abs/10.1080/00472778.2024.2390500
12,www.authorea.com,"G Tian, Z Hu, R Geng",2026,"Abstract BACKGROUND: The majority of clinical genetic testing focuses almost exclusively on regions of the genome that directly encode proteins. The important role of variants in non-coding regions in penetrant disease is, however, increasingly being demonstrated, and the use of whole genome sequencing in clinical diagnostic  is rising across a large range of genetic disorders. Despite this, there is no existing guidance on how current guidelines designed primarily for variants in protein-coding regions should be adapted for variants identified in other genomic contexts. METHODS: We convened a panel of nine clinical and research scientists with wide-ranging expertise in clinical variant interpretation, with specific experience in variants within non-coding regions. This panel discussed and refined an initial draft of the guidelines which were then extensively tested and reviewed by external groups. RESULTS: We discuss considerations specifically for variants in non-coding regions of the genome. We outline how to define candidate regulatory elements, highlight examples of mechanisms through which non-coding region variants can lead to penetrant monogenic disease, and outline how existing guidelines can be adapted for the interpretation of these variants. CONCLUSIONS: These recommendations aim to increase the number and range of non-coding region variants that can be clinically interpreted, which, together with a compatible phenotype, can lead to new diagnoses and catalyse the discovery of novel disease mechanisms.",https://www.authorea.com/doi/full/10.22541/au.173535297.79369962
13,Optimizing Building Short-Term Load Forecasting: A Comparative Analysis of Machine Learning Models,"Paraskevas Koukaras, Akeem Mustapha, Aristeidis Mystakidis, Christos Tjortjis",18-Mar-24,"Abstract

The building sector, known for its high energy consumption, needs to reduce its energy use due to rising greenhouse gas emissions. To attain this goal, a projection for domestic energy usage is needed. This work optimizes short-term load forecasting (STLF) in the building sector while considering several variables (energy consumption/generation, weather information, etc.) that impact energy use. It performs a comparative analysis of various machine learning (ML) models based on different data resolutions and time steps ahead (15 min, 30 min, and 1 h with 4-step-, 2-step-, and 1-step-ahead, respectively) to identify the most accurate prediction method. Performance assessment showed that models like histogram gradient-boosting regression (HGBR), light gradient-boosting machine regression (LGBMR), extra trees regression (ETR), ridge regression (RR), Bayesian ridge regression (BRR), and categorical boosting regression (CBR) outperformed others, each for a specific resolution. Model performance was reported using
R
2
, root mean square error (RMSE), coefficient of variation of RMSE (CVRMSE), normalized RMSE (NRMSE), mean absolute error (MAE), and execution time. The best overall model performance indicated that the resampled 1 h 1-step-ahead prediction was more accurate than the 15 min 4-step-ahead and the 30 min 2-step-ahead predictions. Findings reveal that data preparation is vital for the accuracy of prediction models and should be model-adjusted.",https://www.mdpi.com/1996-1073/17/6/1450
