SL NO.,Title,Authors,Published Year,Abstract,Paper Link
1,From dry eye to depression: a machine learning-based framework for predicting adolescent mental health,"Le Han, Ying Liu, Peng Xian, Xiao Liu, Kai Cao, Li Ren, Yue Chang, Zhangfang Ma, Lei Tian, Shijing Deng, Xuejiao Liu, Yunshuang Liu, Ying Jie",06 November 2025,"Abstract

Background
Adolescent depression is a major public health concern. Physical health indicators are rarely included in risk tools. We examined whether adding dry eye disease (DED) to psychosocial and behavioral factors improves prediction of depressive symptoms.

Methods
We analyzed 2,076 adolescent questionnaires (94.5% response) covering ocular health, sleep, electronic device use, social support, and demographics. Five machine-learning classifiers were trained with cross-validation and evaluated for discrimination and calibration.

Results
Models that included DED achieved strong discrimination (AUC ≈ 0.84) and good calibration, with highest accuracy for no and severe depression and lower performance for mild/moderate categories.

Conclusions
Integrating ocular health with psychosocial factors enhances machine-learning prediction of adolescent depression and may support earlier, school-based identification and referral. Given the low-cost, questionnaire-based inputs and favorable calibration, this approach shows promise for population screening and targeted prevention, pending external validation and prospective testing.",https://link.springer.com/article/10.1186/s12911-025-03246-7
2,A novel method for predicting debris flow hazard: a multi-strategy fusion approach based on the light gradient boosting machine framework,"Tianlong Wang, Qi Ge, Tianxing Ma, Hao Chen, Rui Luo, Xu Wang, Keying Zhang, Zhaowei Chu, Xiaohui Ni, Hongyue Sun",12 March 2025,"Abstract
This study addresses the prediction of debris flow hazards by developing a multi-strategy integrated light gradient boosting machine model (MS-LightGBM). The model, based on the standard LightGBM regression framework, incorporates the sample entropy-based improved complete ensemble empirical mode decomposition with adaptive noise (ICEEMDAN-SE). Additionally, a multi-strategy improved crayfish optimization algorithm (ICOA) is proposed to optimize the tuning of ICEEMDAN-SE and LightGBM. An error correction mechanism is also introduced to enhance prediction accuracy. The model is applied to predict hazard levels using 93 debris flow hazard points in Yajiang County, Sichuan Province, China, based on 13 key influencing factors validated through multicollinearity tests. The MS-LightGBM model was compared with 16 regression models, achieving a root mean square error (RMSE) of 0.04, mean absolute error (MAE) of 0.03, and mean absolute percentage error (MAPE) of 4.67%. These results demonstrate the model’s high efficiency and reliability. Furthermore, in-depth analyses of key features, individual sample results, and interaction effects among features are conducted within the SHapley Additive exPlanations (SHAP) explainability framework, and engineering recommendations are proposed based on these insights.",https://link.springer.com/article/10.1007/s00477-025-02955-9
3,Machine learning-based mortality risk prediction models in patients with sepsis-associated acute kidney injury: a systematic review,"Xu Li, Xu Hu, Huiting Xu, Pin Yu, Hailing Ju",2025/10/08,"Abstract

Background: Machine learning (ML) models are increasingly utilized to predict mortality in patients with sepsis-associated acute kidney injury (SA-AKI), frequently surpassing traditional scoring systems. Despite their efficacy, inconsistencies in model quality remain a concern. This review aims to evaluate existing ML-based SA-AKI mortality prediction models, with a focus on development quality, methodological rigor, and predictive performance.

Objective: To systematically assess ML-based mortality risk prediction models for SA-AKI patients.

Methods: A comprehensive literature search on ML-based SA-AKI mortality prediction models was conducted across PubMed, Cochrane, Embase, and Web of Science from the inception of these databases until July 2025. Two researchers independently screened the literature, extracted data, and assessed model quality employing the Prediction Model Risk of Bias Assessment Tool for Artificial Intelligence.

Results: Nine studies were included, all of which entailed model development and validation phases; five were solely internally validated while four underwent external validation as well. The studies utilized 18 different algorithms, with Random Forest and Extreme Gradient Boosting being the most prevalent. The majority of the studies employed K-nearest neighbor or Multiple Imputation by Chained Equations for handling missing values and utilized Recursive Feature Elimination, Least Absolute Shrinkage and Selection Operator, and Boruta's algorithm for feature selection. Seven studies assessed model calibration performance. The Area Under the Curve (AUC) for the training sets generally ranged from 0.75 to 0.99, which decreased to 0.70 to 0.87 during internal validation. Extreme Gradient Boosting consistently showed robust performance in external validation. The final predictors encompassed six principal categories: demographic information, vital signs, laboratory tests, disease severity, comorbidities, and interventions.

Conclusions: ML models demonstrate promising performance and applicability in predicting mortality risk in SA-AKI patients, with consistent core predictors. Nevertheless, most studies exhibit a potential risk of bias. Future efforts should aim to enhance the standardization of data processing, feature selection, and validation processes. Additionally, there is a need to focus on the construction of prospective models based on early variables, and to ensure the interpretability and clinical integration of the models to facilitate their practical application in healthcare workflows.",https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1680180/full
4,Carbon Dioxide Emission Forecast: A Review of Existing Models and Future Challenges,"Yaxin Tian, Xiang Ren, Keke Li, Xiangqian Li",11 February 2025,"Abstract

In the face of global climate change, accurately predicting carbon dioxide emissions has become an urgent requirement for environmental science and policy-making. This article provides a systematic review of the literature on carbon dioxide emission forecasting, categorizing existing research into four key aspects. Firstly, regarding model input variables, a thorough discussion is conducted on the pros and cons of univariate models versus multivariable models, balancing operational simplicity with high accuracy. Secondly, concerning model types, a detailed comparison is made between statistical methods and machine learning methods, with a particular emphasis on the outstanding performance of deep learning models in capturing complex relationships in carbon emissions. Thirdly, regarding model data, the discussion explores annual emissions and daily emissions, highlighting the practicality of annual predictions in policy-making and the importance of daily predictions in providing real-time support for environmental policies. Finally, regarding model quantity, the differences between single models and ensemble models are examined, emphasizing the potential advantages of considering multiple models in model selection. Based on the existing literature, future research will focus on the integration of multiscale data, optimizing the application of deep learning models, in-depth analysis of factors influencing carbon emissions, and real-time prediction, providing scientific support for a more comprehensive, real-time, and adaptive response to the challenges of climate change. This comprehensive research outlook aims to provide scientists and policymakers with reliable information on carbon emissions, promoting the achievement of environmental protection and sustainable development goals.",https://www.mdpi.com/2071-1050/17/4/1471
9,onlinelibrary.wiley.com,,N/A,https://onlinelibrary.wiley.com/doi/abs/10.1002/for.2931,https://onlinelibrary.wiley.com/doi/abs/10.1002/for.2931
10,Global performance of machine learning models to predict all-cause mortality: systematic review and meta-analysis,"Felipe Mendes Delpino, Ludmila Pereira Pimenta, Diego Ferreira Gonzalez, Audêncio Victor, Cinthia Fonseca Araujo, Keisyanne De Araujo-Moura, J. Jaime Miranda, Sandro Rogério Rodrigues Batista, Alexandre Dias Porto Chiavegatto Filho, Bruno Pereira Nunes",27 November 2025,"Abstract
We aimed to review the literature on the performance of machine learning models to predict all-cause mortality. The systematic review was protocolled in PROSPERO (CRD42023476567) following PRISMA guidelines. Searches were conducted in PubMed, LILACS, Web of Science, and Scopus databases. Studies predicting all-cause mortality using machine learning were analyzed with random-effects models, with heterogeneity assessed using I2 statistics and quality evaluated using TRIPOD + AI. The meta-analysis included 88 studies. Most of the studies were from the United States (n = 25) and China (n = 20). Overall pooled AUC was 0.831 (95% CI 0.797–0.865), with extreme heterogeneity (I2:100%). The majority of the studies included no social variables in the models (89.8%). Subgroup analysis showed similar performance between general population studies and disease-specific populations. Models from high-income countries were similar to those from low- and middle-income countries. Meta-regression showed covariates that affected the results: algorithm, population type, study quality score, and study CI imputation. Equity-oriented sub-group analysis (< 10%) and external validation in other datasets (8.0%) were scarce. Overall, machine learning models showed high performance to predict all-cause mortality, but also highlighted equity gaps. The limitations reduce the potential of public health’s evaluation and deployment due to the risk of perpetuation of social disparities. Extreme heterogeneity indicates highly context-dependent performance requiring local validation before implementation assessment.",https://www.nature.com/articles/s41598-025-26714-6
11,Boosting-Based Machine Learning Applications in Polymer Science: A Review,"Ivan Malashin, Vadim Tynchenko, Andrei Gantimurov, Vladimir Nelyub, Aleksei Borodulin",14 February 2025,"Abstract

The increasing complexity of polymer systems in both experimental and computational studies has led to an expanding interest in machine learning (ML) methods to aid in data analysis, material design, and predictive modeling. Among the various ML approaches, boosting methods, including AdaBoost, Gradient Boosting, XGBoost, CatBoost and LightGBM, have emerged as powerful tools for tackling high-dimensional and complex problems in polymer science. This paper provides an overview of the applications of boosting methods in polymer science, highlighting their contributions to areas such as structure–property relationships, polymer synthesis, performance prediction, and material characterization. By examining recent case studies on the applications of boosting techniques in polymer science, this review aims to highlight their potential for advancing the design, characterization, and optimization of polymer materials.",https://www.mdpi.com/2073-4360/17/4/499
12,Machine Learning for Gas Capture in Ionic Liquids: Current Status and Future Trends,"Guocai Tian, Zhiqiang Hu, Ranran Geng",1 July 2026,"Abstract

Ionic liquids, as green gas solubility media, have great potential for applications in carbon capture, industrial waste gas purification, and other fields. However, the massive combination of anions and cations makes their screening extremely difficult. Machine learning can break through the bottleneck of traditional experiments and simulations and achieve high-throughput prediction of gas solubility in ionic liquids. This article provides a systematic review of the research progress of machine learning in predicting the gas solubility performance of ionic liquids. The classification and modeling process of machine learning, the construction and performance of machine learning prediction models for the solubility of gases such as CO2, H2S, NH3, SO2, N2O and others in ionic liquids were analyzed and summarized. The progress and existing problems of machine learning application for gas capture in ionic liquids and the future development direction are discussed, in order to provide assistance and theoretical reference for the directional design and industrial application of ionic liquids.",https://www.mdpi.com/1420-3049/31/13/2293
5,www.cell.com,,N/A,https://www.cell.com/heliyon/fulltext/S2405-8440(24)11617-9,https://www.cell.com/heliyon/fulltext/S2405-8440(24)11617-9
6,Development and validation of AI models using LR and LightGBM for predicting distant metastasis in breast cancer: a dual-center study,"Wen-hai Zhang, Yang Tan, Zhen Huang, Qi-xing Tan, Yue-mei Zhang, Bin-jie Chen, Chang-yuan Wei",2024/06/14,"Abstract

Objective: This study aims to develop an artificial intelligence model utilizing clinical blood markers, ultrasound data, and breast biopsy pathological information to predict the distant metastasis in breast cancer patients.

Methods: Data from two medical centers were utilized, Clinical blood markers, ultrasound data, and breast biopsy pathological information were separately extracted and selected. Feature dimensionality reduction was performed using Spearman correlation and LASSO regression. Predictive models were constructed using LR and LightGBM machine learning algorithms and validated on internal and external validation sets. Feature correlation analysis was conducted for both models.

Results: The LR model achieved AUC values of 0.892, 0.816, and 0.817 for the training, internal validation, and external validation cohorts, respectively. The LightGBM model achieved AUC values of 0.971, 0.861, and 0.890 for the same cohorts, respectively. Clinical decision curve analysis showed a superior net benefit of the LightGBM model over the LR model in predicting distant metastasis in breast cancer. Key features identified included creatine kinase isoenzyme (CK-MB) and alpha-hydroxybutyrate dehydrogenase.

Conclusion: This study developed an artificial intelligence model using clinical blood markers, ultrasound data, and pathological information to identify distant metastasis in breast cancer patients. The LightGBM model demonstrated superior predictive accuracy and clinical applicability, suggesting it as a promising tool for early diagnosis of distant metastasis in breast cancer.",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2024.1409273/full
